col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,target
56,31,0,5,10,9,7,0,0,566,30,1
57,25,0,17,27,0,30,2,1,780,11,1
58,32,1,14,9,0,30,0,2,122,17,1
59,24,1,32,15,1,16,1,1,565,12,0
60,45,1,7,21,3,5,0,1,558,11,0
61,32,0,8,2,0,30,0,1,544,21,1
62,51,1,38,26,7,11,0,2,404,15,1
63,21,1,28,2,2,18,0,0,877,15,0
64,54,1,53,29,5,25,2,2,751,4,1
65,38,1,29,13,0,20,0,1,568,26,0
66,34,1,18,21,0,23,1,2,741,15,1
67,27,0,1,7,10,5,1,0,760,5,1
68,32,0,14,19,2,8,0,0,604,4,0
69,19,1,40,9,0,6,0,1,679,21,0
70,50,0,16,24,2,22,0,2,445,21,1
71,32,1,48,4,1,15,0,1,990,16,0
72,34,1,20,29,2,2,0,0,626,8,0
73,19,1,33,25,4,4,0,2,985,24,1
74,41,1,23,26,2,14,2,0,774,29,0
75,48,0,36,3,6,3,1,2,279,17,1
76,34,0,49,3,2,0,0,0,472,8,1
77,36,0,53,20,1,3,1,1,617,11,0
78,58,0,8,25,2,19,0,2,223,12,1
79,46,1,28,19,1,10,0,1,686,23,0
80,20,1,28,8,1,5,1,1,771,14,0
81,18,1,20,1,1,10,2,1,759,24,1
82,23,1,54,5,2,15,2,0,985,16,0
83,39,0,56,8,3,11,0,2,133,29,1
84,35,0,55,15,2,6,2,1,655,17,1
85,42,0,5,14,2,12,1,1,981,11,1
86,33,0,32,11,0,20,2,1,697,15,0
87,23,1,1,2,2,19,0,2,613,14,1
88,42,1,28,18,1,16,2,1,429,1,1
89,26,1,16,12,2,14,0,0,634,15,0
90,38,1,40,30,3,19,1,1,853,18,0
91,43,1,28,3,8,30,0,2,623,16,1
92,56,1,16,23,3,8,1,2,620,10,1
93,43,0,50,28,0,7,1,0,724,6,0
94,28,1,46,30,2,1,1,1,682,23,0
95,38,1,39,18,5,26,0,0,856,13,1
96,63,0,40,6,4,3,0,2,418,2,1
97,45,0,14,26,2,0,1,0,357,16,1
98,56,1,5,1,3,16,0,2,389,19,1
99,32,1,41,30,1,4,1,0,822,4,0
100,23,1,6,30,1,0,2,1,892,3,0
101,49,1,13,30,4,18,0,0,560,6,0
102,37,1,26,22,10,21,0,2,247,24,1
103,46,1,19,23,1,12,0,2,272,11,1
104,60,0,17,12,4,11,2,0,581,20,1
105,29,0,10,28,2,3,1,1,808,14,0
106,39,1,60,29,2,8,0,1,903,24,0
107,23,0,18,14,1,1,1,0,625,13,0
108,35,1,32,15,1,18,1,1,837,1,0
109,22,0,49,17,0,0,1,0,908,13,0
110,29,1,26,23,7,14,0,2,277,18,1
111,42,1,39,11,1,13,1,0,189,8,1
112,49,1,7,17,3,7,2,0,742,22,0
113,37,1,30,9,0,10,0,1,693,3,0
114,45,1,36,19,4,7,2,0,791,19,0
115,51,1,58,30,3,17,1,2,296,2,1
116,47,1,14,19,4,7,2,1,753,28,0
117,41,0,60,2,4,20,1,1,907,6,0
118,33,0,6,9,1,4,0,0,582,11,0
119,47,0,38,13,4,9,2,0,334,18,1
120,50,1,7,23,3,2,1,0,964,6,0
121,24,1,11,7,2,3,0,0,803,8,0
122,43,0,51,20,4,11,1,0,954,5,0
123,33,1,55,24,3,4,0,0,696,18,0
124,60,1,39,2,5,30,0,1,220,19,1
125,45,0,12,7,5,14,1,2,431,4,1
126,21,0,44,22,5,8,1,0,309,19,1
127,45,0,16,17,9,30,2,0,467,9,1
128,28,1,38,6,1,3,2,1,568,21,0
129,48,1,58,19,2,9,2,1,674,20,0
130,38,1,32,13,2,13,0,1,840,20,0
131,21,1,44,22,1,9,1,0,811,25,0
132,32,0,40,3,7,17,0,2,608,9,1
133,49,0,16,18,1,5,2,0,807,5,0
134,45,0,52,20,0,1,0,0,514,15,0
135,38,0,32,28,2,19,1,0,570,9,0
136,36,0,21,17,1,21,0,2,559,18,1
137,20,1,40,29,2,0,0,1,706,24,0
138,30,0,55,25,2,19,2,0,991,15,0
139,42,1,3,10,1,17,2,0,675,15,0
140,39,0,54,5,1,16,1,1,956,6,0
141,42,1,25,3,4,5,2,1,606,21,0
142,50,0,41,11,2,5,2,0,123,1,1
143,22,0,25,18,0,20,1,1,828,15,0
144,25,0,14,10,1,16,1,0,518,10,0
145,49,1,45,10,1,6,1,0,609,8,0
146,41,1,39,13,3,4,2,0,572,26,0
147,18,0,26,29,7,23,1,0,801,18,1
148,31,1,34,7,1,15,1,1,960,1,0
149,50,0,48,27,4,1,2,1,644,10,0
150,23,0,6,22,1,18,1,2,699,17,1
151,42,1,27,24,0,11,1,1,829,24,0
152,47,1,37,11,2,26,0,2,635,27,1
153,35,1,52,7,3,18,1,2,297,27,1
154,59,0,49,4,6,4,0,0,459,23,1
155,44,1,35,27,3,18,0,1,772,19,0
156,49,0,51,16,0,14,2,1,601,6,0
157,57,0,18,21,5,10,2,1,625,13,1
158,50,0,41,22,2,12,0,2,639,11,1
159,34,0,9,7,1,29,0,1,464,9,1
160,42,1,34,8,1,0,2,0,535,23,0
161,65,1,23,24,9,28,0,0,682,9,1
162,40,0,12,27,5,22,2,2,795,14,1
163,50,1,9,20,8,12,2,2,948,21,1
164,33,0,22,28,7,13,2,0,881,4,1
165,61,0,26,22,3,25,1,1,575,14,1
166,41,0,19,20,1,18,2,0,584,9,0
167,27,1,42,20,6,18,1,2,115,17,1
168,19,0,32,13,1,11,0,2,139,1,1
169,31,0,10,17,0,15,0,0,913,9,0
170,45,1,37,29,0,0,0,1,857,2,0
171,22,0,48,25,7,25,2,0,998,23,1
172,43,0,18,11,2,3,0,1,952,2,0
173,25,1,55,23,10,28,1,1,636,30,1
174,18,1,53,23,1,8,1,0,565,29,0
175,47,1,47,28,0,16,1,0,756,8,0
176,35,0,19,3,5,18,2,2,732,16,1
177,61,1,35,8,10,1,0,2,938,12,1
178,45,1,17,20,5,1,1,2,243,19,1
179,26,1,27,7,0,16,1,0,985,13,0
180,35,1,56,11,2,4,1,0,787,19,0
181,20,1,13,11,2,15,1,0,780,24,0
182,49,0,8,25,0,9,2,1,732,5,0
183,62,0,10,30,4,6,1,1,467,20,1
184,51,1,49,18,6,9,1,2,535,6,1
185,57,1,27,7,5,25,0,0,263,26,1
186,45,1,41,14,4,20,0,0,822,30,0
187,32,1,3,2,3,9,2,1,615,23,0
188,27,0,58,28,0,1,1,1,531,1,0
189,42,1,10,11,6,9,1,2,609,23,1
190,20,1,9,11,9,8,1,0,612,29,1
191,50,1,55,3,9,11,1,2,214,1,1
192,29,1,54,12,0,13,2,0,893,1,0
193,42,0,14,7,3,14,1,1,808,20,1
194,40,1,21,26,1,19,1,1,559,20,0
195,53,1,14,13,10,28,0,0,303,27,1
196,55,1,16,4,3,0,0,2,586,5,1
197,30,0,15,10,3,3,2,0,907,5,0
198,50,1,44,19,5,15,1,1,993,17,0
199,43,1,27,27,2,3,2,0,854,11,0
200,34,1,33,15,3,9,2,1,791,21,0
201,44,0,5,26,1,8,2,0,841,4,0
202,26,1,55,20,0,13,0,1,841,28,0
203,31,1,27,29,1,1,1,0,817,3,0
204,51,0,36,1,5,14,1,2,508,3,1
205,37,0,10,11,1,1,0,1,997,18,1
206,47,1,47,19,10,27,0,0,893,5,1
207,44,1,59,29,8,28,0,1,673,19,1
208,24,1,8,20,1,18,2,1,550,8,0
209,46,1,58,6,0,7,1,0,621,26,0
210,61,0,32,30,2,5,1,2,588,9,1
211,48,1,41,27,2,2,1,1,797,8,0
212,51,0,52,21,5,9,2,2,148,26,1
213,20,1,31,19,1,11,1,0,710,9,0
214,37,1,53,4,3,9,2,0,865,12,0
215,36,0,11,13,1,9,2,1,994,12,0
216,24,1,18,11,3,19,0,1,515,9,1
217,40,0,57,21,1,4,0,1,975,10,0
218,60,1,25,2,9,3,1,1,484,28,1
219,57,0,57,13,8,9,2,2,484,5,1
220,42,1,45,4,3,10,2,1,647,2,0
221,39,1,18,18,3,12,1,1,936,18,0
222,38,1,9,13,1,20,0,1,912,9,0
223,41,1,30,23,1,30,1,0,366,30,1
224,31,0,38,12,0,13,2,0,887,2,0
225,45,1,24,12,8,30,1,1,817,30,1
226,50,1,13,19,0,8,0,0,147,20,1
227,34,0,37,11,1,13,1,1,673,3,0
228,28,1,43,20,10,19,1,2,745,17,1
229,38,1,21,10,2,3,1,1,419,28,1
230,31,0,38,19,5,5,0,0,335,15,1
231,38,0,58,14,0,18,1,0,888,12,0
232,33,0,18,15,1,2,1,0,609,7,0
233,32,1,40,23,2,4,0,1,561,20,0
234,48,1,56,6,1,19,0,0,832,23,0
235,30,0,34,26,3,8,0,0,721,1,0
236,35,1,28,10,3,15,1,0,774,28,0
237,46,1,53,15,4,18,1,1,947,23,0
238,22,1,54,15,1,19,2,1,661,9,0
239,28,0,43,1,2,1,2,0,998,8,0
240,39,0,52,30,1,8,1,1,943,8,0
241,64,1,54,26,0,8,2,0,732,6,1
242,25,1,2,8,1,18,0,0,654,18,0
243,46,0,59,24,6,16,0,0,940,29,1
244,35,1,41,21,2,2,0,1,877,26,0
245,46,1,37,2,4,8,1,0,998,26,0
246,42,1,41,28,2,12,0,0,570,29,0
247,51,0,24,16,9,11,2,2,776,3,1
248,22,0,4,30,2,10,0,0,729,8,0
249,40,1,31,1,5,15,0,1,812,17,1
250,57,1,2,25,6,16,0,1,912,8,1
251,34,0,8,28,6,30,2,1,641,24,1
252,40,1,35,30,0,2,0,0,524,25,0
253,33,0,8,5,0,19,1,1,821,9,0
254,30,1,37,17,0,2,2,1,634,24,0
255,30,1,53,8,6,26,1,0,647,5,1
256,42,1,56,5,2,20,2,0,885,16,0
257,55,1,57,29,3,14,2,0,286,19,1
258,25,1,60,21,0,29,0,1,216,15,1
259,18,1,38,3,0,5,0,0,228,28,1
260,34,0,28,9,1,8,0,1,517,12,0
261,25,1,25,11,0,1,1,0,675,10,0
262,34,1,44,1,0,11,0,2,229,25,1
263,42,1,49,4,3,4,2,0,508,9,0
264,59,1,59,17,5,27,0,1,723,20,1
265,49,0,43,30,1,13,2,0,782,1,0
266,26,1,49,1,7,28,1,1,523,17,1
267,30,1,7,29,7,18,1,2,526,16,1
268,62,0,1,5,0,15,1,2,131,11,1
269,54,0,17,12,7,22,0,0,466,16,1
270,20,0,39,9,1,6,1,2,933,3,1
271,40,0,37,19,3,13,1,1,663,2,0
272,61,1,37,30,6,19,0,1,618,28,1
273,44,0,25,6,3,11,2,1,573,6,0
274,32,0,52,13,2,9,0,1,832,11,0
275,36,0,27,6,2,29,1,0,293,27,1
276,21,0,31,17,9,7,0,1,857,29,1
277,52,0,14,25,2,21,0,1,652,4,1
278,51,0,5,13,7,24,0,1,927,13,1
279,22,1,53,22,2,18,1,1,683,3,0
280,30,0,45,12,3,11,2,1,701,5,0
281,54,1,38,22,6,22,2,1,389,1,1
282,26,0,23,6,4,13,2,1,117,28,1
283,44,1,9,22,10,2,2,2,922,6,1
284,20,1,37,17,2,17,2,0,561,30,0
285,48,0,1,12,5,28,1,2,925,5,1
286,50,1,1,9,1,1,2,1,584,17,0
287,31,0,55,14,3,16,0,0,544,3,0
288,40,0,60,15,2,3,2,0,445,28,1
289,24,1,50,24,2,14,1,1,664,6,0
290,20,1,41,27,4,13,1,2,188,1,1
291,49,1,39,5,2,3,0,2,164,24,1
292,43,1,16,29,4,16,2,1,571,1,0
293,24,0,32,28,0,7,0,0,707,8,0
294,34,0,45,24,8,22,0,0,517,1,1
295,58,0,38,7,5,30,2,0,105,7,1
296,44,1,48,22,0,10,0,0,820,20,0
297,32,0,20,22,6,29,2,0,899,15,1
298,61,0,13,27,8,19,2,2,566,22,1
299,36,0,45,22,0,12,2,1,938,9,0
300,40,1,25,13,2,8,2,1,574,14,0
301,48,0,59,27,4,8,1,1,203,19,1
302,28,0,46,9,0,4,1,1,732,13,0
303,34,0,45,23,2,0,1,1,884,2,0
304,45,0,31,1,1,16,1,0,671,12,0
305,33,1,20,23,8,18,0,2,365,13,1
306,33,1,45,22,0,16,0,0,149,7,1
307,40,0,52,11,6,5,1,1,116,9,1
308,48,0,32,11,2,18,0,0,567,4,0
309,64,1,57,19,6,12,2,1,756,16,1
310,49,0,26,12,0,2,2,0,642,12,0
311,47,1,30,11,0,2,2,0,843,7,0
312,65,1,22,29,10,8,2,1,531,16,1
313,27,0,24,15,2,13,2,0,931,7,0
314,48,0,42,30,2,0,1,0,795,4,0
315,38,1,54,23,3,9,0,2,886,9,1
316,25,1,25,15,3,17,2,2,317,2,1
317,45,0,48,12,10,0,0,2,294,20,1
318,48,1,30,2,3,20,2,1,540,18,0
319,65,0,16,18,5,0,1,1,790,10,1
320,27,1,60,3,0,18,1,0,743,3,0
321,49,1,45,21,4,13,2,0,656,16,0
322,29,1,38,6,1,2,2,1,555,11,0
323,21,1,31,15,2,9,0,0,535,28,0
324,37,1,20,22,1,5,0,0,633,18,0
325,24,1,39,12,0,13,2,0,871,28,0
326,40,1,60,4,0,19,0,0,955,23,0
327,19,0,49,11,0,13,0,0,838,4,0
328,25,1,1,13,10,8,2,0,400,27,1
329,65,0,41,27,10,15,0,2,300,24,1
330,38,1,46,3,4,23,1,0,566,5,1
331,45,0,5,25,0,8,2,0,978,1,0
332,30,0,40,21,10,24,1,1,476,29,1
333,43,1,36,4,5,2,2,1,947,23,1
334,52,1,44,25,10,26,0,2,456,29,1
335,35,1,44,6,3,8,0,0,896,28,0
336,35,1,36,22,1,13,1,0,555,23,0
337,48,1,32,25,10,4,0,2,437,3,1
338,58,0,51,3,9,16,2,1,427,11,1
339,37,1,33,6,1,14,1,0,915,1,0
340,35,0,5,16,3,26,2,0,517,3,1
341,60,1,40,23,6,0,0,0,696,16,1
342,42,1,48,26,0,16,0,0,898,5,0
343,49,1,11,5,9,28,0,1,689,11,1
344,23,1,27,14,1,6,1,0,905,13,0
345,45,1,60,4,6,7,0,0,257,24,1
346,42,1,11,2,10,21,1,2,616,22,1
347,33,0,12,21,0,2,1,0,443,25,1
348,32,1,40,12,4,13,2,2,511,23,1
349,35,1,56,30,10,15,1,2,414,28,1
350,55,1,51,14,0,24,0,0,905,1,1
351,49,1,10,18,2,6,1,0,840,10,0
352,49,1,43,14,1,3,2,1,956,13,0
353,52,1,28,26,10,4,1,0,889,11,1
354,35,0,46,16,1,17,2,0,825,7,0
355,63,1,48,14,2,28,0,1,672,13,1
356,48,1,38,9,1,1,1,1,505,6,0
357,60,1,24,15,2,12,0,2,717,15,1
358,50,1,41,30,1,20,0,1,588,21,0
359,37,0,43,1,3,2,1,0,598,1,0
360,20,1,6,18,10,1,2,1,507,30,1
361,54,1,15,29,3,28,2,2,723,18,1
362,44,0,8,11,10,1,0,1,510,10,1
363,25,1,11,26,3,11,0,1,635,14,1
364,49,1,18,24,0,6,1,1,545,19,0
365,25,1,28,23,1,2,1,1,865,10,0
366,42,1,50,13,4,7,1,1,616,25,0
367,22,1,9,30,0,19,0,0,914,18,0
368,50,1,29,22,1,16,2,1,563,16,0
369,28,0,17,24,6,28,0,2,169,16,1
370,41,1,59,7,0,0,2,1,625,16,0
371,31,1,6,7,0,4,1,0,521,3,0
372,44,0,43,23,0,8,0,0,787,1,0
373,42,1,53,8,0,10,0,0,538,14,0
374,18,0,8,21,0,19,1,0,667,10,0
375,50,0,39,15,1,10,2,1,654,8,0
376,51,1,39,24,0,21,2,1,905,10,1
377,31,0,19,13,1,18,2,0,676,4,0
378,59,0,37,17,7,18,1,0,999,25,1
379,27,0,16,8,3,3,1,0,896,19,1
380,61,1,25,28,2,25,2,1,644,23,1
381,21,1,36,9,1,15,0,0,915,1,0
382,31,1,56,6,2,9,1,0,590,26,0
383,46,0,27,28,5,0,2,0,707,17,1
384,37,1,31,5,1,22,1,2,399,13,1
385,40,0,43,3,4,17,0,0,958,10,0
386,44,0,56,20,8,9,0,1,959,4,1
387,50,1,41,14,1,10,1,0,807,13,0
388,44,0,3,1,2,6,0,1,842,6,0
389,34,1,46,25,2,14,0,0,640,1,0
390,27,1,19,24,2,11,0,0,939,18,0
391,47,1,6,29,3,18,0,1,338,10,1
392,31,1,40,2,1,3,1,0,830,8,0
393,27,1,23,21,1,2,2,1,624,7,0
394,55,1,51,19,4,10,2,1,278,17,1
395,34,0,42,28,9,30,1,0,266,17,1
396,63,0,18,20,10,11,1,0,105,7,1
397,28,0,1,27,9,14,1,2,768,15,1
398,34,1,20,19,1,7,1,1,914,30,0
399,48,0,48,29,1,14,2,1,661,9,0
400,41,1,30,22,1,8,0,0,993,15,0
401,40,0,7,22,2,6,1,1,788,6,0
402,27,0,60,26,0,8,0,0,650,15,0
403,48,1,6,4,1,17,2,1,932,25,0
404,44,0,8,20,2,25,0,0,353,6,1
405,23,1,41,1,0,17,0,2,410,26,1
406,41,1,55,21,0,8,1,0,939,11,0
407,52,1,40,30,0,12,1,0,771,24,1
408,31,1,37,11,2,8,1,0,979,18,0
409,43,1,58,9,4,10,1,0,674,5,0
410,23,1,6,11,0,19,0,0,864,5,0
411,30,1,8,3,2,11,2,1,541,13,0
412,35,1,57,13,3,15,2,0,907,20,0
413,35,1,34,5,1,11,2,0,894,18,0
414,30,1,55,17,3,6,1,1,831,29,0
415,40,1,48,12,4,5,1,1,976,9,0
416,18,1,20,25,9,8,2,1,800,2,1
417,33,0,8,12,3,20,1,0,121,26,1
418,53,1,23,30,0,29,1,2,886,14,1
419,45,0,30,7,2,7,1,0,722,8,0
420,47,0,17,25,1,8,2,0,445,4,1
421,26,1,50,20,5,15,2,0,266,12,1
422,27,1,3,9,6,7,0,2,976,29,1
423,25,1,26,30,0,12,2,0,572,9,0
424,30,1,56,6,0,19,2,1,661,21,0
425,18,0,53,7,1,4,2,0,634,18,1
426,58,0,50,28,4,30,0,1,514,28,1
427,49,1,4,29,0,16,0,0,501,19,0
428,49,0,59,9,6,23,1,2,540,4,1
429,54,1,4,16,10,17,0,1,445,30,1
430,42,0,34,14,2,12,0,1,729,8,0
431,41,1,16,13,1,0,1,1,993,27,0
432,64,0,18,30,7,12,1,1,860,2,1
433,33,1,32,20,2,1,2,0,503,9,0
434,40,0,13,20,2,23,1,2,178,2,1
435,40,1,34,29,2,15,0,1,706,2,0
436,45,0,27,13,1,2,0,2,651,18,1
437,47,1,15,13,4,11,0,0,995,15,0
438,61,0,43,27,3,20,1,2,314,26,1
439,25,0,57,19,9,13,2,0,862,14,1
440,43,1,49,16,4,20,0,0,581,13,0
441,19,1,54,27,0,2,1,1,576,29,0
442,31,0,56,15,1,14,1,1,627,13,0
443,36,0,43,8,1,18,2,0,570,3,0
444,19,1,34,25,5,27,1,0,853,22,1
445,50,0,13,28,9,9,2,0,776,29,1
446,20,1,2,25,5,18,2,1,905,14,1
447,41,1,6,30,4,5,2,1,508,8,0
448,65,1,12,10,5,0,0,0,605,1,1
449,54,1,47,1,5,1,0,2,291,4,1
450,43,0,29,20,0,18,2,0,983,14,0
451,48,0,24,26,3,12,0,0,616,3,0
452,50,0,44,5,3,23,0,2,325,23,1
453,18,0,33,3,3,28,2,2,564,24,1
454,50,1,24,28,5,20,0,1,981,30,0
455,23,1,18,8,0,7,2,1,992,27,1
456,25,0,42,15,4,20,0,1,447,16,1
457,55,1,34,15,6,19,0,0,584,10,1
458,60,0,41,16,3,12,1,2,640,15,1
459,51,1,46,24,3,30,1,1,116,12,1
460,46,1,34,25,1,18,2,1,633,30,0
461,60,1,52,12,0,28,1,0,838,12,1
462,18,1,55,13,0,18,2,1,970,10,0
463,29,0,41,26,1,22,0,0,487,8,1
464,44,1,28,3,4,16,0,1,932,11,0
465,50,1,48,22,6,1,1,1,423,30,1
466,22,1,21,3,2,20,0,2,913,8,1
467,45,1,44,10,3,5,1,1,921,23,0
468,35,0,8,10,3,6,0,1,837,12,0
469,59,0,32,21,3,8,1,2,210,2,1
470,33,0,34,17,0,4,0,0,621,8,0
471,28,1,47,4,5,5,1,2,727,3,1
472,53,0,27,5,10,11,1,0,900,4,1
473,39,0,3,22,6,25,1,2,474,23,1
474,45,1,33,16,4,20,0,0,763,24,0
475,24,0,29,24,5,3,0,0,193,26,1
476,42,0,38,6,7,10,2,1,390,27,1
477,23,1,34,6,1,10,0,1,880,30,0
478,49,1,10,30,1,10,2,0,795,20,0
479,37,0,56,8,0,15,2,0,720,7,0
480,37,1,20,15,5,19,0,0,483,26,1
481,48,0,60,30,3,20,2,2,864,9,1
482,36,1,9,27,1,9,1,0,782,12,0
483,45,1,47,19,3,4,1,1,817,5,0
484,46,0,9,22,2,10,1,0,578,9,0
485,18,1,57,16,2,25,1,0,642,5,1
486,61,1,56,15,8,19,2,1,368,15,1
487,35,1,41,19,6,22,0,2,611,3,1
488,61,0,17,26,5,3,2,0,640,23,1
489,63,0,32,17,3,17,1,2,927,14,1
490,42,0,54,22,0,2,1,0,591,2,0
491,47,0,42,29,5,22,1,0,697,20,1
492,57,1,31,18,2,15,0,2,897,25,1
493,38,0,6,18,2,3,1,2,477,12,1
494,30,1,32,19,2,1,2,1,596,26,0
495,49,0,35,20,0,8,0,1,633,10,0
496,50,0,37,27,4,16,2,0,892,23,1
497,25,0,15,20,0,16,0,1,868,10,0
498,33,0,36,15,1,11,0,0,651,8,0
499,32,0,45,16,2,3,0,1,599,8,0
500,22,0,27,4,2,14,0,0,732,3,0
501,43,1,17,22,4,3,0,1,897,12,0
502,35,1,38,11,1,7,1,0,917,16,0
503,44,1,42,4,3,3,1,0,861,24,0
504,19,0,11,25,7,1,2,0,573,22,1
505,27,1,7,14,1,5,0,0,891,2,0
506,56,1,55,21,10,5,1,2,793,21,1
507,33,1,7,27,7,13,2,2,198,10,1
508,32,1,29,12,3,20,2,0,747,2,0
509,20,1,6,20,1,4,1,1,722,12,0
510,61,1,4,1,0,29,0,0,986,29,1
511,62,1,14,22,1,22,1,2,879,2,1
512,26,0,41,15,0,3,0,0,619,2,0
513,34,0,26,17,3,2,1,0,713,1,0
514,20,1,45,14,0,17,2,1,729,21,0
515,20,1,14,19,0,16,0,1,693,18,0
516,18,1,30,20,1,12,2,1,543,29,0
517,58,1,1,13,9,23,2,1,222,21,1
518,47,1,2,26,1,3,2,1,985,10,0
519,34,1,48,14,2,14,2,1,827,28,0
520,23,0,21,4,7,27,0,1,450,1,1
521,41,0,46,21,0,11,0,1,534,2,0
522,39,0,45,19,2,10,0,0,732,5,0
523,37,0,19,14,1,13,1,1,854,1,0
524,50,0,27,22,3,3,2,2,322,11,1
525,46,1,22,7,3,23,1,2,251,25,1
526,41,1,34,9,8,14,1,0,838,2,1
527,60,1,1,6,9,20,0,1,604,3,1
528,45,1,54,9,2,14,2,0,620,15,0
529,18,1,52,10,2,2,1,0,358,3,1
530,33,1,29,25,4,21,0,0,924,3,1
531,34,0,43,22,0,13,0,1,620,3,0
532,23,1,6,4,2,9,1,1,845,8,0
533,55,1,38,15,5,21,0,1,872,5,1
534,44,1,34,20,9,5,1,1,763,4,1
535,35,1,1,6,0,11,0,0,926,2,0
536,46,1,35,9,10,22,1,1,763,3,1
537,63,1,48,9,1,29,0,2,552,29,1
538,47,0,10,21,3,2,2,1,816,14,0
539,59,0,55,24,2,21,2,2,292,11,1
540,22,1,49,4,2,11,2,0,896,18,0
541,51,0,23,17,9,27,1,0,695,26,1
542,65,1,33,24,9,4,0,1,425,29,1
543,27,0,35,28,1,11,0,0,563,3,0
544,31,1,59,6,5,12,0,0,464,19,1
545,29,1,22,23,6,28,0,0,586,27,1
546,40,1,2,5,3,20,2,0,597,5,0
547,27,1,7,11,1,8,0,0,632,12,0
548,25,1,22,18,2,3,0,1,973,19,0
549,65,1,43,15,1,27,1,2,968,7,1
550,33,0,36,30,6,30,2,2,975,16,1
551,65,0,11,21,0,27,1,1,819,18,1
552,58,0,4,16,2,11,0,2,798,13,1
553,44,0,32,13,3,4,1,1,810,11,0
554,33,0,53,10,3,23,2,1,408,15,1
555,33,1,40,13,2,10,0,1,608,4,0
556,22,0,50,27,4,17,1,2,568,30,1
557,19,1,3,1,1,3,2,1,584,4,0
558,24,1,11,7,2,15,2,1,761,14,0
559,24,1,18,30,2,4,2,1,750,19,0
560,64,0,42,16,2,21,0,0,578,5,1
561,18,1,10,8,2,17,1,0,552,30,1
562,44,1,26,12,2,22,1,0,734,18,1
563,41,0,33,17,2,3,0,1,552,2,0
564,53,0,46,6,7,10,1,1,407,3,1
565,32,1,55,10,3,9,0,0,561,10,0
566,29,1,6,8,2,17,1,1,646,11,0
567,51,0,31,16,2,28,0,2,380,8,1
568,44,0,29,16,1,19,1,0,965,1,0
569,56,0,4,16,4,1,0,2,185,10,1
570,26,1,39,2,0,7,0,1,577,28,0
571,46,1,23,10,3,3,2,0,560,2,0
572,18,0,37,4,1,23,0,1,500,26,1
573,23,1,15,30,2,19,2,0,705,11,0
574,24,1,50,3,0,15,0,1,770,18,0
575,65,0,59,1,9,15,1,1,284,6,1
576,56,1,16,17,7,19,1,2,690,5,1
577,47,0,2,24,2,12,2,1,605,7,0
578,22,1,44,27,2,17,0,0,912,25,0
579,61,1,40,22,7,2,2,2,981,4,1
580,40,0,8,22,1,4,1,2,374,7,1
